ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
150.29.0.0,49376,no,8,0,8,0,0,2024-06-18 09:59:02.181556,2024-06-18 10:04:39.916190,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:04:10.181556,0 days 00:05:37.734634
192.224.0.0,27651,yes,8,0,8,0,0,2024-06-18 10:09:21.867632,2024-06-18 12:40:21.276009,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:14:29.867632,0 days 02:30:59.408377
164.77.0.0,7193,yes,4,0,4,0,0,2024-06-18 10:14:11.019389,2024-06-18 10:14:18.236021,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:19:19.019389,0 days 00:00:07.216632
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-18 10:24:30.706751,2024-06-18 10:24:37.916018,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:29:38.706751,0 days 00:00:07.209267
211.107.0.0,49376,no,4,0,4,0,0,2024-06-18 10:26:34.672333,2024-06-18 10:26:41.836084,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:31:42.672333,0 days 00:00:07.163751
192.224.0.0,54123,yes,12,0,12,0,0,2024-06-18 10:30:01.202274,2024-06-18 11:56:33.275962,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:35:09.202274,0 days 01:26:32.073688
164.77.0.0,23789,no,8,0,8,0,0,2024-06-18 10:33:27.861373,2024-06-18 12:28:38.876094,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:38:35.861373,0 days 01:55:11.014721
192.224.0.0,32876,no,8,0,8,0,0,2024-06-18 10:34:50.511115,2024-06-18 12:05:24.235986,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:39:58.511115,0 days 01:30:33.724871
92.237.0.0,32876,yes,8,0,8,0,0,2024-06-18 10:39:39.667608,2024-06-18 11:37:37.275988,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:44:47.667608,0 days 00:57:57.608380
92.237.0.0,23789,yes,4,0,4,0,0,2024-06-18 10:40:20.962041,2024-06-18 10:40:28.155992,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:45:28.962041,0 days 00:00:07.193951
62.115.0.0,54123,yes,8,0,8,0,0,2024-06-18 10:52:44.685570,2024-06-18 12:45:51.836196,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:57:52.685570,0 days 01:53:07.150626
240.103.0.0,7193,yes,4,0,4,0,0,2024-06-18 10:56:52.564352,2024-06-18 10:56:59.756192,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:02:00.564352,0 days 00:00:07.191840
