ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
154.64.245.126,49930,yes,1,0,1,0,0,2024-06-22 17:44:57.783061,0:00:00
154.64.245.126,24339,yes,1,0,1,0,0,2024-06-22 17:44:57.785793,0:00:00
154.64.245.126,24939,yes,1,0,1,0,0,2024-06-22 17:44:57.789453,0:00:00
154.64.245.126,50863,yes,1,0,1,0,0,2024-06-22 17:44:57.792317,0:00:00
154.64.245.126,30546,yes,1,0,1,0,0,2024-06-22 17:44:57.795382,0:00:00
154.64.245.126,36575,yes,1,0,1,0,0,2024-06-22 17:44:57.797695,0:00:00
154.64.245.126,55512,yes,1,0,1,0,0,2024-06-22 17:44:57.801293,0:00:00
154.64.245.126,47220,yes,1,0,1,0,0,2024-06-22 17:44:57.804723,0:00:00
154.64.245.126,6340,yes,1,0,1,0,0,2024-06-22 17:44:57.807269,0:00:00
154.64.245.126,51464,yes,1,0,1,0,0,2024-06-22 17:44:57.810624,0:00:00
154.64.245.126,27992,yes,1,0,1,0,0,2024-06-22 17:44:57.813043,0:00:00
154.64.245.126,62135,yes,1,0,1,0,0,2024-06-22 17:44:57.815368,0:00:00
154.64.245.126,16075,yes,1,0,1,0,0,2024-06-22 17:44:57.818763,0:00:00
154.64.245.126,51021,yes,1,0,1,0,0,2024-06-22 17:44:57.821613,0:00:00
154.64.245.126,9811,yes,1,0,1,0,0,2024-06-22 17:44:57.823894,0:00:00
154.64.245.126,12140,yes,1,0,1,0,0,2024-06-22 17:44:57.826332,0:00:00
154.64.245.126,62639,yes,1,0,1,0,0,2024-06-22 17:44:57.829538,0:00:00
154.64.245.126,12742,yes,1,0,1,0,0,2024-06-22 17:44:57.831925,0:00:00
154.64.245.126,33140,yes,2,0,2,0,0,2024-06-22 17:44:57.834252,0:00:06.942539
154.64.245.126,43748,yes,1,0,1,0,0,2024-06-22 17:44:57.836594,0:00:00
154.64.245.126,13734,yes,1,0,1,0,0,2024-06-22 17:44:57.839298,0:00:00
154.64.245.126,20550,yes,2,0,2,0,0,2024-06-22 17:44:57.841515,0:00:37.862684
154.64.245.126,62192,yes,1,0,1,0,0,2024-06-22 17:44:57.843589,0:00:00
154.64.245.126,37550,yes,1,0,1,0,0,2024-06-22 17:44:57.845181,0:00:00
154.64.245.126,6802,yes,1,0,1,0,0,2024-06-22 17:44:57.846913,0:00:00
154.64.245.126,39663,yes,1,0,1,0,0,2024-06-22 17:44:57.849675,0:00:00
154.64.245.126,48276,yes,1,0,1,0,0,2024-06-22 17:44:57.851498,0:00:00
154.64.245.126,32132,yes,1,0,1,0,0,2024-06-22 17:44:57.853223,0:00:00
154.64.245.126,36366,yes,1,0,1,0,0,2024-06-22 17:44:57.855718,0:00:00
154.64.245.126,65369,yes,1,0,1,0,0,2024-06-22 17:44:57.858304,0:00:00
154.64.245.126,62606,yes,1,0,1,0,0,2024-06-22 17:44:57.860158,0:00:00
154.64.245.126,61890,yes,1,0,1,0,0,2024-06-22 17:44:57.862586,0:00:00
154.64.245.126,63567,yes,1,0,1,0,0,2024-06-22 17:44:58.668381,0:00:00
154.64.245.126,59247,yes,1,0,1,0,0,2024-06-22 17:44:58.673092,0:00:00
154.64.245.126,31732,yes,1,0,1,0,0,2024-06-22 17:44:58.676193,0:00:00
154.64.245.126,2392,yes,1,0,1,0,0,2024-06-22 17:44:58.679781,0:00:00
154.64.245.126,24123,yes,1,0,1,0,0,2024-06-22 17:44:58.682709,0:00:00
154.64.245.126,391,yes,1,0,1,0,0,2024-06-22 17:44:58.686425,0:00:00
154.64.245.126,15650,yes,1,0,1,0,0,2024-06-22 17:44:58.689681,0:00:00
154.64.245.126,53436,yes,1,0,1,0,0,2024-06-22 17:44:58.692454,0:00:00
